frame.number|ip.src|ip.dst|_ws.col.protocol|frame.len|kerberos.CNameString|kerberos.realm|kerberos.SNameString|ntlmssp.auth.username|ntlmssp.auth.domain|ntlmssp.auth.hostname
22493|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
22494|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
22495|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
22496|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
22497|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
22498|10.1.17.215|10.1.17.2|EPM|222||||||
22500|10.1.17.2|10.1.17.215|EPM|322||||||
22501|10.1.17.215|10.1.17.2|DRSUAPI|258||||||
22502|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
22503|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
22504|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
22505|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
22506|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
22511|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
22513|10.1.17.2|10.1.17.215|LDAP|264||||||
22514|10.1.17.215|10.1.17.2|LDAP|238||||||
22515|10.1.17.2|10.1.17.215|LDAP|262||||||
22516|10.1.17.215|10.1.17.2|LDAP|243||||||
22517|10.1.17.2|10.1.17.215|LDAP|220||||||
22518|10.1.17.215|10.1.17.2|LDAP|237||||||
22519|10.1.17.2|10.1.17.215|LDAP|273||||||
22524|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
22526|10.1.17.2|10.1.17.215|LDAP|264||||||
22527|10.1.17.215|10.1.17.2|LDAP|172||||||
22530|10.1.17.2|10.1.17.215|LDAP|330||||||
22532|10.1.17.215|10.1.17.2|LDAP|312||||||
22533|10.1.17.2|10.1.17.215|LDAP|340||||||
22534|10.1.17.215|10.1.17.2|LDAP|129||||||
22537|10.1.17.215|10.1.17.2|LDAP|129||||||
22724|10.1.17.215|10.1.17.2|LDAP|404||||||
22726|10.1.17.2|10.1.17.215|LDAP|1450||||||
22729|10.1.17.215|10.1.17.2|LDAP|676||BLUEMOONTUESDAY.COM|ldap,win-gsh54qlw48d.bluemoontuesday.com|||
22731|10.1.17.2|10.1.17.215|LDAP|264||||||
22732|10.1.17.215|10.1.17.2|LDAP|250||||||
22733|10.1.17.2|10.1.17.215|LDAP|275||||||
22734|10.1.17.215|10.1.17.2|LDAP|129||||||
22741|10.1.17.215|10.1.17.2|LDAP|676||BLUEMOONTUESDAY.COM|ldap,win-gsh54qlw48d.bluemoontuesday.com|||
22743|10.1.17.2|10.1.17.215|LDAP|264||||||
22744|10.1.17.215|10.1.17.2|LDAP|250||||||
22745|10.1.17.2|10.1.17.215|LDAP|275||||||
22746|10.1.17.215|10.1.17.2|LDAP|129||||||
23560|10.1.17.215|10.1.17.255|BROWSER|228||||||
23561|10.1.17.215|10.1.17.255|BROWSER|228||||||
23569|10.1.17.215|10.1.17.255|BROWSER|228||||||
23573|10.1.17.215|10.1.17.2|DCERPC|214||||||
23574|10.1.17.2|10.1.17.215|DCERPC|162||||||
23575|10.1.17.215|10.1.17.2|EPM|222||||||
23576|10.1.17.2|10.1.17.215|EPM|322||||||
23581|10.1.17.215|10.1.17.2|DCERPC|851||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
23583|10.1.17.2|10.1.17.215|DCERPC|338||||||
23584|10.1.17.215|10.1.17.2|DCERPC|274||||||
23585|10.1.17.2|10.1.17.215|DCERPC|159||||||
23586|10.1.17.215|10.1.17.2|DRSUAPI|322||||||
23587|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
23588|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
23589|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
23590|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
23591|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
23592|10.1.17.215|10.1.17.2|EPM|222||||||
23593|10.1.17.2|10.1.17.215|EPM|322||||||
23594|10.1.17.215|10.1.17.2|DRSUAPI|258||||||
23595|10.1.17.2|10.1.17.215|DRSUAPI|258||||||
23596|10.1.17.215|10.1.17.2|DRSUAPI|338||||||
23597|10.1.17.2|10.1.17.215|DRSUAPI|450||||||
23598|10.1.17.215|10.1.17.2|DRSUAPI|194||||||
23599|10.1.17.2|10.1.17.215|DRSUAPI|194||||||
23603|10.1.17.215|10.1.17.2|LDAP|404||||||
23605|10.1.17.2|10.1.17.215|LDAP|1450||||||
23608|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
23610|10.1.17.2|10.1.17.215|LDAP|264||||||
23611|10.1.17.215|10.1.17.2|LDAP|238||||||
23612|10.1.17.2|10.1.17.215|LDAP|262||||||
23613|10.1.17.215|10.1.17.2|LDAP|243||||||
23614|10.1.17.2|10.1.17.215|LDAP|220||||||
23615|10.1.17.215|10.1.17.2|LDAP|237||||||
23616|10.1.17.2|10.1.17.215|LDAP|273||||||
23621|10.1.17.215|10.1.17.2|LDAP|742||BLUEMOONTUESDAY.COM|LDAP,WIN-GSH54QLW48D.bluemoontuesday.com,bluemoontuesday.com|||
23623|10.1.17.2|10.1.17.215|LDAP|264||||||
23624|10.1.17.215|10.1.17.2|LDAP|172||||||
23627|10.1.17.2|10.1.17.215|LDAP|330||||||
23629|10.1.17.215|10.1.17.2|LDAP|312||||||
23630|10.1.17.2|10.1.17.215|LDAP|340||||||
23631|10.1.17.215|10.1.17.2|LDAP|129||||||
23633|10.1.17.215|10.1.17.2|LDAP|129||||||
23667|10.1.17.215|10.1.17.255|BROWSER|228||||||
23676|10.1.17.215|10.1.17.255|BROWSER|240||||||
23679|10.1.17.215|10.1.17.255|BROWSER|240||||||
23685|10.1.17.215|10.1.17.255|BROWSER|240||||||
23688|10.1.17.215|10.1.17.255|BROWSER|240||||||
24068|10.1.17.215|10.1.17.255|BROWSER|243||||||
25134|10.1.17.215|10.1.17.255|BROWSER|228||||||
25137|10.1.17.215|10.1.17.255|BROWSER|228||||||
25143|10.1.17.215|10.1.17.255|BROWSER|228||||||
25144|10.1.17.215|10.1.17.255|BROWSER|228||||||
25151|10.1.17.215|10.1.17.255|BROWSER|240||||||
